Title,Genders,Developers,Publishers,Release Date (NA),Release Date (EU),Release Date (JP),Release Date (AU),Addons,Xbox One
Rockstar Games Presents Table Tennis,Sports,Rockstar San Diego,Rockstar Games,"May 22, 2006","May 26, 2006","Oct 12, 2006","May 26, 2006",,XBO
Rocky and Bullwinkle,Family & Educational,Zen Studios,Microsoft Game Studios,"Apr 16, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Rogue Warrior,First-person Shooter,Rebellion Developments,Bethesda Softworks,"Dec 1, 2009","Dec 1, 2009",Unreleased,"Nov 22, 2013",,
Roogoo,Puzzle & Trivia,Spidermonk Entertainment,SouthPeak Games,"Jun 4, 2008",Unreleased,Unreleased,Unreleased,XBLA,
Root Beer Tapper,Classics,Midway Games/Digital Eclipse,Midway Games,"Feb 7, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Root Double: Before Crime * After Days,Visual novel,Yeti,Yeti,Unreleased,Unreleased,"Jun 14, 2012",Unreleased,,
Rotastic,Action & Adventure,Dancing Dots Studio,Focus Home Interactive,"Sep 21, 2011",Unreleased,Unreleased,Unreleased,XBLA,
R-Type Dimensions(R-Type & R-Type II),Shooter,Southend Interactive/Tozai Games,Microsoft Game Studios,"Feb 4, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Rugby 15,Sports,HB Studios,"Maximum Family Games, Big Ben Interactive","Feb 10, 2015","Nov 21, 2014","Nov 21, 2014",Unreleased,,
Rugby Challenge 2,Sports,Tru Blu Entertainment,Sidhe,Unreleased,Unreleased,"Jun 13, 2013","Nov 22, 2013",,
Rugby Challenge 3,Sports,Wicked Witch Software,Alternative Software,"Apr 22, 2016","Apr 22, 2016",Unreleased,"Apr 22, 2016",,
Rugby League Live,Sports game,Big Ant Studios,Tru Blu Entertainment,Unreleased,Unreleased,Unreleased,"Nov 5, 2010",,
Rugby League Live 2,Sports game,Big Ant Studios,Tru Blu Entertainment,Unreleased,Unreleased,Unreleased,"Oct 9, 2012",,
Rugby League Live 3,Sports game,Tru Blu Entertainment,Sidhe,Unreleased,Unreleased,"Jun 13, 2013","Nov 22, 2013",,
Rugby World Cup 2011,Sports,HB Studios,505 Games,"Sep 6, 2011","Aug 26, 2011","Aug 26, 2011","Nov 22, 2013",,
Rugby World Cup 2015,Sports,HB Studios,505 Games,"Sep 4, 2015","Sep 4, 2015","Sep 4, 2015","Sep 4, 2015",,
Rumble Roses XX,Fighting,"Konami, Yuke's",Konami,"Mar 28, 2006","May 12, 2006","Mar 30, 2006","Nov 22, 2013",,XBO
Runner2,Platformer,Gaijin Games,Aksys Games,"Feb 27, 2013","Feb 27, 2013","Feb 27, 2013","Feb 27, 2013",XBLA,XBO
Rush'n Attack,Classics,Konami/Digital Eclipse,Microsoft Game Studios,"May 23, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Rush'n Attack: Ex-Patriot,Platformer,Vatra Games,Konami,"Mar 30, 2011",Unreleased,Unreleased,Unreleased,XBLA,
The Saboteur,Action-adventure,Pandemic Studios,Electronic Arts,"Dec 8, 2009","Dec 8, 2009",Unreleased,"Nov 22, 2013",,
Sacred 2: Fallen Angel,Action RPG,Ascaron,Ascaron,"May 12, 2009","Jun 5, 2009",Unreleased,"Nov 22, 2013",,
Sacred 3,Action RPG,Keen Games,Deep Silver,"Aug 5, 2014","Aug 1, 2014",Unreleased,"Nov 22, 2013",,XBO
Sacred Citadel,Action & Adventure,Southend Interactive,Deep Silver,"Apr 17, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Saints Row,"Action-adventure, Open World",Volition,THQ,"Aug 29, 2006","Sep 1, 2006","Jun 21, 2007","Aug 31, 2006",,XBO
Saints Row 2,"Action-adventure, Open World",Volition,THQ,"Oct 14, 2008","Oct 17, 2008","Dec 4, 2008","Nov 22, 2013",,XBO
Saints Row: Gat out of Hell,"Action-adventure, Open World",Volition,Deep Silver,"Jan 20, 2015","Jan 23, 2015","Jan 23, 2015","Nov 22, 2013",,XBO
Saints Row: The Third,"Action-adventure, Open World",Volition,THQ,"Nov 15, 2011","Nov 18, 2011","Nov 17, 2011","Nov 22, 2013",,XBO
Saints Row IV,"Action-adventure, Open World",Volition,Deep Silver,"Aug 20, 2013","Aug 23, 2013","Aug 23, 2013","Nov 22, 2013",,XBO
Sakura Flamingo Archives,Shooter,MileStone Inc.,"Klon Co., Ltd.",Unreleased,Unreleased,"Nov 27, 2014",Unreleased,,
Sam & Max Beyond Time and Space,Action & Adventure,Telltale Games,Microsoft Game Studios,"Oct 14, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sam & Max Save the World,Action & Adventure,Telltale Games,Microsoft Game Studios,"Jun 17, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Samurai Shodown II,Classics,SNK,SNK,"Sep 10, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Samurai Shodown Sen,Fighting,SNK Playmore,SNK Playmore,"Mar 30, 2010","Apr 16, 2010","Dec 10, 2009","Nov 22, 2013",,
Samurai Warriors 2,Hack & Slash,Omega Force,Koei,"Sep 19, 2006","Sep 22, 2006","Aug 17, 2006","Nov 22, 2013",,
Samurai Warriors 2: Empires,"Hack & Slash, Expansion",Omega Force,Koei,"Feb 27, 2007","Mar 16, 2007",Unreleased,"Nov 22, 2013",,
Sanctum 2,Strategy & Simulation,Coffee Stain Studios,D3 Publisher,"May 15, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Saw,"Third-person Shooter, Survival Horror",Zombie Studios,Konami,"Oct 6, 2009","Nov 20, 2009",Unreleased,"Nov 22, 2013",,
Saw II: Flesh & Blood,"Action, Survival Horror",Zombie Studios,Konami,"Oct 19, 2010","Oct 19, 2010",Unreleased,"Nov 22, 2013",,
SBK-08: Superbike World Championship,Racing,Milestone,Koch Media,"Nov 8, 2008","Aug 1, 2008",Unreleased,"Jun 26, 2008",,
SBK-09: Superbike World Championship,Racing,Milestone,Koch Media,Unreleased,Unreleased,Unreleased,"Nov 22, 2013",,
SBK 2011: Superbike World Championship,Racing,Milestone,Black Bean Games,Unreleased,"May 13, 2011",Unreleased,Unreleased,,
SBK Generations,Racing,Milestone,Black Bean Games,"Jun 7, 2012","Jun 1, 2012",Unreleased,Unreleased,,
SBK X: Superbike World Championship,Racing,Milestone,Black Bean Games,"Oct 19, 2010","Jun 4, 2010",Unreleased,"Nov 22, 2013",,
Scarygirl,Platformer,TikGames,Square Enix,"Jan 18, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Scene It? Box Office Smash,Party,"Krome Studios, Screenlife Games",Microsoft Game Studios,"Oct 28, 2008","Nov 14, 2008",Unreleased,"Nov 22, 2013",,
Scene It? Bright Lights! Big Screen!,Party,Screenlife Games,Warner Bros. Interactive Entertainment,"Dec 9, 2009","Dec 9, 2009",Unreleased,"Nov 22, 2013",,
"Scene It? Lights, Camera, Action",Party,Screenlife Games,Microsoft Game Studios,"Nov 6, 2007","Nov 16, 2007",Unreleased,"Nov 22, 2013",,
Scene It? Movie Night,Family & Educational,Sarbakan,Screenlife Games,"Nov 30, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Schizoid,Action & Adventure,Torpex Games,Microsoft Game Studios,"Jul 9, 2008",Unreleased,Unreleased,Unreleased,XBLA,
SCORE International Baja 1000,Racing,Left Field Productions,Activision,"Oct 28, 2008","Nov 21, 2008",Unreleased,"Nov 22, 2013",,
Scott Pilgrim vs. the World: The Game,Fighting,Ubisoft Montreal/Ubisoft Chengdu,Ubisoft,"Aug 25, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Scourge: Outbreak,Action & Adventure,Tragnarion Studios,UFO Interactive Games,"Jul 3, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Scramble,Classics,Konami/Digital Eclipse,Konami,"Sep 13, 2006",Unreleased,Unreleased,Unreleased,XBLA,
Scrap Metal,Racing & Flying,Slick Entertainment,Microsoft Game Studios,"Mar 10, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Screamride,Puzzle,Frontier Developments,Microsoft Studios,"Mar 3, 2015","Mar 6, 2015",Unreleased,"Nov 22, 2013",,XBO
Screwjumper!,Action & Adventure,Frozen Codebase,THQ,"Nov 11, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Sea Life Safari,Family & Educational,Wanako Games,Activision,"Jun 18, 2008",Unreleased,Unreleased,Unreleased,XBLA,
The Secret of Monkey Island: Special Edition,Classics,LucasArts,Disney Interactive Studios,"Jul 15, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Secret Service,First-person Shooter,Cauldron,Activision,"Nov 4, 2008","Mar 13, 2009",Unreleased,"Nov 22, 2013",,
Section 8,First-person Shooter,TimeGate Studios,SouthPeak Games,"Sep 4, 2009","Sep 11, 2009",Unreleased,"Nov 22, 2013",,
Section 8: Prejudice,Shooter,TimeGate Studios,TimeGate Studios,"Apr 20, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Sega Bass Fishing,Classics,Sims,Sega,"Oct 5, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sega Rally Online Arcade,Racing & Flying,Sega,Sega,"May 18, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Sega Rally Revo,Racing,Sega Racing Studio,Sega,"Oct 9, 2007","Sep 28, 2007","Jan 31, 2008","Nov 22, 2013",,
Sega Superstars Tennis,Sports,Sumo Digital,Sega,"Mar 18, 2008","Mar 28, 2008",Unreleased,"Nov 22, 2013",,
"Sega Vintage Collection: Alex Kidd & Co.(Alex Kidd in Miracle World, Super Hang-On, The Revenge of Shinobi)",Classics,Sega/M2,Sega,"May 23, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
"Sega Vintage Collection: Golden Axe(Golden Axe, II, III)",Classics,Sega/M2,Sega,"May 30, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
"Sega Vintage Collection: Monster World(Wonder Boy in Monster Land, Wonder Boy in Monster World, Monster World IV)",Classics,Sega/M2,Sega,"May 23, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
"Sega Vintage Collection: Streets of Rage(Streets of Rage, 2, 3)",Classics,Sega/M2,Sega,"May 30, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
"Sega Vintage Collection: ToeJam & Earl(ToeJam & Earl, Panic on Funkotron)",Classics,Sega/M2,Sega,"Nov 7, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Self-Defense Training Camp,,Ubisoft,Ubisoft,"Nov 8, 2011","Nov 11, 2011",Unreleased,"Nov 10, 2011",K,
Sensible World of Soccer,Sports & Recreation,Kuju Entertainment,Codemasters,"Dec 21, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Serious Sam 3: BFE,Shooter,Croteam,Mastertronic Group,"Oct 17, 2012",Unreleased,Unreleased,Unreleased,XBLA,
Serious Sam Double D: XXL,Shooter,Mommy's Best Games,Mastertronic Group,"Feb 20, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Serious Sam HD: The First Encounter,Classics,Croteam,Majesco Entertainment,"Jan 13, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Serious Sam HD: The Second Encounter,Classics,Croteam,Majesco Entertainment,"Sep 22, 2010",Unreleased,Unreleased,Unreleased,XBLA,
"Sengoku Hime 2: Senran no Yo, Gunyuu Arashi no Gotoku",Strategy,SystemSoft,SystemSoft,Unreleased,Unreleased,"Jun 24, 2010",Unreleased,,
Sesame Street: Once Upon a Monster,,Double Fine Productions,Warner Bros. Interactive Entertainment,"Oct 11, 2011","Oct 14, 2011",Unreleased,"Oct 12, 2011",K,
Shadow Assault: Tenchu,Action & Adventure,From Software,From Software,"Oct 8, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Shadow Complex,Action & Adventure,Chair Entertainment/Epic Games,Microsoft Game Studios,"Aug 19, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Shadowrun,First-person Shooter,FASA Interactive,Microsoft Game Studios,"May 29, 2007","Jun 1, 2007","Jun 21, 2007","Nov 22, 2013",,XBO
Shadows of the Damned,"Third-person Shooter, Action",Grasshopper Manufacture,Electronic Arts,"Jun 21, 2011","Jun 24, 2011","Sep 22, 2011","Nov 22, 2013",,XBO
Shank,Action & Adventure,Klei Entertainment,Electronic Arts,"Aug 25, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Shank 2,Action & Adventure,Klei Entertainment,Electronic Arts,"Feb 8, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sharin no Kuni: The Girl Among the Sunflowers,Visual novel,Akabeisoft2,5pb.,Unreleased,Unreleased,"Oct 28, 2010",Unreleased,,
Shaun White Skateboarding,Sports,Ubisoft Montreal,Ubisoft,"Oct 1, 2010","Oct 1, 2010",Unreleased,"Nov 22, 2013",,
Shaun White Snowboarding,Sports,Ubisoft Montreal,Ubisoft,"Nov 16, 2008","Nov 14, 2008",Unreleased,"Nov 22, 2013",,
Shellshock 2: Blood Trails,First-person Shooter,Rebellion Developments,Eidos Interactive,"Feb 24, 2009","Feb 13, 2009",Unreleased,"Nov 22, 2013",,
Sherlock Holmes vs. Jack the Ripper,Adventure,Frogwares,Focus Home Interactive,"May 26, 2009","May 29, 2009","Jun 9, 2009","Nov 22, 2013",,
Sherlock Holmes: Crimes & Punishments,Adventure,Frogwares,Focus Home Interactive,"Sep 30, 2014","Oct 3, 2014","Sep 30, 2014","Nov 22, 2013",,
Shiei no Sona-Nyl Refrain: What a Beautiful Memories,Visual novel,Liar Soft,Liar Soft,Unreleased,Unreleased,"Feb 27, 2014",Unreleased,,
Need for Speed: Shift 2 Unleashed,Racing,Slightly Mad Studios,Electronic Arts,"Mar 8, 2011","Mar 10, 2011",Unreleased,"Nov 22, 2013",,
Shikigami no Shiro III,Shooter,Barnhouse Effect,Arc System Works,Unreleased,Unreleased,"Dec 13, 2007",Unreleased,,
Shin Sangokumusou 4 Special,"Hack & Slash, Tactical RPG",Omega Force,Koei,Unreleased,Unreleased,"Dec 22, 2006","Nov 22, 2013",,
Shinobi,Classics,Sega/Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Shoot Many Robots,Action & Adventure,Demiurge Studios,Ubisoft,"Mar 14, 2012",Unreleased,Unreleased,Unreleased,XBLA,
"Shooting Love, 10 Shuunen XIIzeal & Deltazeal",Shoot 'em Up,Triangle Service,Triangle Service,Unreleased,Unreleased,"Feb 19, 2009",Unreleased,,
"Shooting Love, 200X",Shoot 'em Up,Triangle Service,Triangle Service,Unreleased,Unreleased,"Feb 19, 2009","Nov 22, 2013",,
Shotest Shogi,Puzzle & Trivia,Rubicon Development,Microsoft Game Studios,"Sep 10, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Shred Nebula,Shooter,CrunchTime Games,Microsoft Game Studios,"Sep 3, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Shrek Forever After,Action-adventure,XPEC,Activision,"May 18, 2010","Jun 18, 2010",Unreleased,"Nov 22, 2013",,
Shrek n' Roll,Family & Educational,Backbone Entertainment,Activision,"Nov 14, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Shrek the Third,Action-adventure,7 Studios,Activision,"May 15, 2007","Jun 22, 2007",Unreleased,"Nov 22, 2013",,
Silent Hill: Downpour,Survival Horror,Vatra Games,Konami,"May 13, 2012","May 30, 2012",Unreleased,"Nov 22, 2013",3D,XBO
Silent Hill: Homecoming,Survival Horror,Konami,Konami,"Sep 30, 2008","Feb 27, 2009",Unreleased,"Nov 22, 2013",,XBO
Silent Hill HD Collection,Survival Horror,Konami,Konami,"Mar 20, 2012","Mar 29, 2012","Mar 29, 2012","Nov 22, 2013",,XBO
The Simpsons Arcade Game,Classics,Konami/Backbone Entertainment,Konami,"Feb 3, 2012",Unreleased,Unreleased,Unreleased,XBLA,
The Simpsons Game,"Action, Platform",Electronic Arts,Electronic Arts,"Oct 30, 2007","Nov 2, 2007",Unreleased,"Nov 22, 2013",,
The Sims 3,Sim,Maxis,Electronic Arts,"Oct 26, 2010","Oct 28, 2010","Nov 18, 2010","Nov 22, 2013",,
The Sims 3: Pets,Sim,"Maxis, Edge of Reality",Electronic Arts,"Oct 18, 2011","Oct 21, 2011","Oct 20, 2011","Nov 22, 2013",K,
Sine Mora,Shooter,Grasshopper Manufacture/Digital Reality,Microsoft Studios,"Mar 21, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Singularity,First-person Shooter,Raven Software,Activision,"Jun 29, 2010","Jun 25, 2010",Unreleased,"Nov 22, 2013",,
Skate,Sports,EA Canada,Electronic Arts,"Sep 14, 2007","Sep 28, 2007","Mar 13, 2008","Nov 22, 2013",,XBO
Skate 2,Sports,EA Canada,Electronic Arts,"Jan 21, 2009","Jan 23, 2009","Jan 23, 2009","Nov 22, 2013",,
Skate 3,Sports,EA Canada,Electronic Arts,"May 11, 2010","May 14, 2010",Unreleased,"Nov 22, 2013",,XBO   XE
Ski Race,Sports,Rare,Microsoft Studios,"Nov 20, 2012",Unreleased,Unreleased,Unreleased,K   XBLA,
Ski-Doo: Snowmobile Challenge,"Sports, Racing",Coldwood Interactive,Crave Entertainment,"Mar 24, 2009","Mar 24, 2009",Unreleased,"Nov 22, 2013",,
Skullgirls/Skullgirls Encore,Fighting,Lab Zero Games,Autumn Games/Marvelous AQL,"Apr 11, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Skulls of the Shogun,Strategy & Simulation,17-BIT,Microsoft Studios,"Jan 30, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Skydive: Proximity Flight,Sports & Recreation,Gaijin Entertainment,TopWare Interactive,"Mar 14, 2014",Unreleased,Unreleased,Unreleased,K   XBLA,XBO
SkyDrift,Action & Adventure,Digital Reality,Bandai Namco Entertainment,"Sep 7, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Skylanders: Giants,Platformer,Toys for Bob,Activision,"Oct 21, 2012","Oct 19, 2012",Unreleased,"Nov 22, 2013",,
Skylanders: Imaginators,Platformer,Toys for Bob,Activision,"Oct 16, 2016","Oct 16, 2016",Unreleased,"Nov 22, 2013",,
Skylanders: Spyro's Adventure,Platformer,Toys for Bob,Activision,"Oct 16, 2011","Oct 14, 2011",Unreleased,"Nov 22, 2013",,
Skylanders: SuperChargers,Platformer,Beenox,Activision,"Sep 20, 2015","Sep 25, 2015",Unreleased,"Nov 22, 2013",,
Skylanders: Swap Force,Platformer,Vicarious Visions,Activision,"Oct 13, 2013","Oct 18, 2013",Unreleased,"Nov 22, 2013",,
Skylanders: Trap Team,Platformer,Vicarious Visions,Activision,"Oct 5, 2014","Oct 5, 2014",Unreleased,"Nov 22, 2013",,
Sleeping Dogs,"Action, Open World",United Front Games,Square Enix,"Aug 14, 2012","Aug 17, 2012",Unreleased,"Nov 22, 2013",,
Slender: The Arrival,Action & Adventure,Blue Isle Studios,Midnight City,"Sep 24, 2014",Unreleased,Unreleased,Unreleased,XBLA,XBO
Small Arms,Action & Adventure,Gastronaut Studios,Microsoft Game Studios,"Nov 22, 2006",Unreleased,Unreleased,Unreleased,XBLA,XBO
Smash Court Tennis 3,Sports,Namco Bandai Games,Namco Bandai Games,"Aug 19, 2008","Aug 29, 2008","Dec 13, 2007","Nov 22, 2013",,
Smash TV,Classics,Midway Games/Digital Eclipse,Midway Games,"Nov 22, 2005",Unreleased,Unreleased,Unreleased,XBLA,
The Smurfs 2,Platformer,WayForward Technologies,Ubisoft,"Jul 23, 2013","Jul 19, 2013",Unreleased,"Nov 22, 2013",,
Sneak King,"Stealth, Action",Blitz Games,King Games,"Nov 19, 2006","Nov 19, 2006",Unreleased,"Nov 22, 2013",,
Sniper Elite III,"Tactical shooter, stealth",Rebellion Developments,505 Games,"Jul 1, 2014","Jun 27, 2014",Unreleased,"Nov 22, 2013",,
Sniper Elite V2,"Tactical shooter, stealth",Rebellion Developments,505 Games,"May 2, 2012","May 4, 2013",Unreleased,"Nov 22, 2013",,XBO
Sniper: Ghost Warrior,First-person Shooter,City Interactive,City Interactive,"Jun 29, 2010","Jun 24, 2010",Unreleased,"Nov 22, 2013",,
Sniper: Ghost Warrior 2,First-person Shooter,City Interactive,City Interactive,"Mar 12, 2013","Mar 15, 2013",Unreleased,"Nov 22, 2013",,
Snipers,First-person Shooter,Hydravision,Bigben Interactive,"Feb 24, 2012","Feb 24, 2012",Unreleased,Unreleased,,
Snoopy Flying Ace,Shooter,Smart Bomb Interactive,Microsoft Game Studios,"Jun 2, 2010",Unreleased,Unreleased,Unreleased,XBLA,
Soldier of Fortune: Payback,First-person Shooter,Activision,Activision,"Nov 13, 2007","Dec 7, 2007",Unreleased,"Nov 22, 2013",,
Soltrio Solitaire,Card & Board,Silver Creek Entertainment,Microsoft Game Studios,"May 16, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic & All-Stars Racing Transformed,Racing,Sumo Digital,Sega,"Nov 20, 2012","Nov 16, 2012","Nov 22, 2012","Nov 22, 2013",,XBO
Sonic & Knuckles,Classics,Sonic Team/Backbone Entertainment,Sega,"Sep 9, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic & Sega All-Stars Racing,Racing,Sumo Digital,Sega,"Feb 23, 2010","Feb 26, 2010","Feb 25, 2010","Nov 22, 2013",,
Sonic Adventure,Classics,Sonic Team,Sega,"Sep 15, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic Adventure 2,Classics,Sonic Team,Sega,"Oct 5, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic Free Riders,,Sonic Team,Sega,"Nov 4, 2010","Nov 10, 2010","Nov 18, 2010","Nov 20, 2010",K,
Sonic Generations,"Platform, Action-adventure",Sonic Team,Sega,"Nov 1, 2011","Nov 3, 2011","Dec 1, 2011","Nov 22, 2013",3D,XBO   XE
Sonic the Fighters,Fighting,Sega AM2,Sega,"Nov 28, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic the Hedgehog,Classics,Sonic Team,Sega,"Jul 11, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic the Hedgehog,Platform,Sonic Team,Sega,"Nov 14, 2006","Nov 24, 2006","Dec 21, 2006","Nov 24, 2006",,
Sonic the Hedgehog 2,Classics,Sonic Team,Sega,"Sep 12, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic CD,Classics,Sonic Team/Christian Whitehead,Sega,"Dec 14, 2011",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic the Hedgehog 3,Classics,Sonic Team/Backbone Entertainment,Sega,"Jun 10, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic the Hedgehog 4: Episode I,Platformer,Sonic Team/Dimps,Sega,"Oct 13, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic the Hedgehog 4: Episode II,Platformer,Sonic Team/Dimps,Sega,"May 16, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Sonic Unleashed,"Platform, Action",Sonic Team,Sega,"Nov 18, 2008","Nov 28, 2008","Feb 19, 2009","Nov 22, 2013",,XBO
Sonic's Ultimate Genesis Collection,Compilation,Backbone Entertainment,Sega,"Feb 10, 2009","Feb 26, 2009",Unreleased,"Nov 22, 2013",,
Soulcalibur,Action & Adventure,Bandai Namco Entertainment,Bandai Namco Entertainment,"Jul 2, 2008",Unreleased,Unreleased,Unreleased,XBLA,XBO
Soulcalibur II HD Online,Fighting,Namco,Bandai Namco Entertainment,"Nov 20, 2013",Unreleased,Unreleased,Unreleased,XBLA,XBO
Soulcalibur IV,Fighting,Namco Bandai Games,Namco Bandai Games,"Jul 29, 2008","Jul 31, 2008","Jul 31, 2008","Nov 22, 2013",,
Soulcalibur V,Fighting,Namco Bandai Games,Namco Bandai Games,"Jan 31, 2012","Feb 3, 2012","Jan 31, 2012","Nov 22, 2013",,
South Park Let's Go Tower Defense Play!,Strategy & Simulation,Doublesix,Microsoft Game Studios,"Oct 7, 2009",Unreleased,Unreleased,Unreleased,XBLA,
South Park: Tenorman's Revenge,Action & Adventure,Other Ocean Interactive,Microsoft Studios,"Mar 30, 2012",Unreleased,Unreleased,Unreleased,XBLA,
South Park: The Stick of Truth,RPG,Obsidian Entertainment,Ubisoft,"Mar 4, 2014","Mar 7, 2014","Mar 6, 2014","Nov 22, 2013",,XBO
Space Ark,Family & Educational,Strawdog Studios,Microsoft Game Studios,"Jun 16, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Space Channel 5: Part 2,Classics,United Game Artists,Sega,"Oct 5, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Space Chimps,"Platform, Adventure",Redtribe,Brash Entertainment,"Jul 15, 2008","Aug 1, 2008",Unreleased,"Nov 22, 2013",,
Space Giraffe,Action & Adventure,Llamasoft,Microsoft Game Studios,"Aug 22, 2007",Unreleased,Unreleased,Unreleased,XBLA,XBO
Space Invaders Extreme,Shooter,Backbone Entertainment,Taito,"May 6, 2009",Unreleased,Unreleased,Unreleased,XBLA,
Space Invaders Infinity Gene,Shooter,Taito,Square Enix,"Sep 15, 2010",Unreleased,Unreleased,Unreleased,XBLA,XBO
Spare Parts,Action & Adventure,EA Bright Light,Electronic Arts,"Jan 19, 2011",Unreleased,Unreleased,Unreleased,XBLA,
Spartacus Legends,Fighting,Kung Fu Factory,Ubisoft,"Jun 26, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Spec Ops: The Line,"Third-person Shooter, Tactical Shooter",Yager,2K Games,"Jun 26, 2012","Jun 29, 2012",Unreleased,"Nov 22, 2013",,XBO
Special Forces: Team X,Shooter,Zombie Studios,Atari,"Feb 6, 2013",Unreleased,Unreleased,Unreleased,XBLA,
Spectral Force 3: Innocent Rage,Tactical RPG,Idea Factory,Idea Factory,"Jul 29, 2008","Jul 29, 2008","Aug 11, 2006","Nov 22, 2013",,
Speedball 2: Brutal Deluxe,Classics,The Bitmap Brothers/Empire Interactive,Empire Interactive,"Oct 17, 2007",Unreleased,Unreleased,Unreleased,XBLA,
Spelunky,Action & Adventure,Mossmouth,Microsoft Studios,"Jul 4, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Spider-Man 3,"Action, Open World",Treyarch,Activision,"May 4, 2007","May 4, 2007",Unreleased,"Nov 22, 2013",,
Spider-Man: Edge of Time,Action-adventure,Beenox,Activision,"Oct 4, 2011","Oct 14, 2011",Unreleased,"Nov 22, 2013",,
Spider-Man: Friend or Foe,"Action-adventure, Beat 'em Up",Next Level Games,Activision,"Oct 2, 2007","Oct 12, 2007",Unreleased,"Nov 22, 2013",,
Spider-Man: Shattered Dimensions,"Action-adventure, Platform, Stealth",Beenox,Activision,"Sep 7, 2010","Sep 10, 2010",Unreleased,"Nov 22, 2013",,
Spider-Man: Web of Shadows,"Action-adventure, Beat 'em Up, Platform",Shaba Games,Activision,"Oct 21, 2008","Oct 24, 2008",Unreleased,"Nov 22, 2013",,
The Spiderwick Chronicles,Action-adventure,Sierra Entertainment,Sierra Entertainment,"Feb 5, 2008","Mar 28, 2008",Unreleased,"Nov 22, 2013",,
Splatterhouse,"Beat 'em Up, Survival Horror",Bottlerocket Entertainment,Namco Bandai Games,"Nov 23, 2010","Nov 26, 2010",Unreleased,"Nov 22, 2013",,
The Splatters,Puzzle & Trivia,SpikySnail Games,Microsoft Studios,"Apr 11, 2012",Unreleased,Unreleased,Unreleased,XBLA,XBO
Split/Second,Racing,Black Rock Studio,Disney Interactive Studios,"May 18, 2010","May 21, 2010",Unreleased,"Nov 22, 2013",,XBO
'Splosion Man,Platformer,Twisted Pixel Games,Microsoft Game Studios,"Jul 22, 2009",Unreleased,Unreleased,Unreleased,XBLA,XBO
